date,city,temp,temp_apparent,temp_min,temp_max,pressure,humidity,wind_speed,cloudiness,weather
1979-01-01,Munich,-8.14375,-15.941666666666668,-17.0,9.46,1005.0416666666666,86.58333333333333,6.941666666666663,80.83333333333333,Snow
1979-01-02,Munich,-11.531250000000002,-17.929166666666664,-15.0,-8.0,1020.7083333333334,83.70833333333333,4.424999999999998,50.916666666666664,Snow
1979-01-03,Munich,-8.607916666666666,-14.767916666666665,-15.0,-5.87,1019.2916666666666,85.08333333333333,4.366666666666666,43.541666666666664,Clouds
1979-01-04,Munich,-11.862500000000002,-16.42791666666667,-19.0,-5.9399999999999995,1010.8333333333334,83.25,1.7820833333333337,31.208333333333332,Clouds
1979-01-05,Munich,-13.734583333333333,-18.114999999999995,-21.0,-8.0,1018.9166666666666,83.91666666666667,1.3883333333333336,28.5,Mist
1979-01-06,Munich,-11.930416666666666,-16.031666666666663,-18.0,-6.53,1026.75,84.5,1.1320833333333333,52.833333333333336,Mist
1979-01-07,Munich,-9.110000000000001,-13.376666666666667,-17.0,-1.8900000000000001,1032.3333333333333,84.45833333333333,1.622916666666667,16.25,Mist
1979-01-08,Munich,-4.333333333333332,-8.206249999999999,-15.0,4.0,1025.0833333333333,77.95833333333333,1.5058333333333334,41.541666666666664,Clouds
1979-01-09,Munich,0.88375,-3.0949999999999993,-4.46,4.0,1012.0,76.91666666666667,2.3625000000000003,74.79166666666667,Clouds
1979-01-10,Munich,-0.37166666666666665,-4.765416666666666,-4.0,3.0,1002.7083333333334,87.41666666666667,3.0120833333333334,61.25,Clouds
1979-01-11,Munich,-0.61125,-6.500416666666669,-5.0,2.0,988.1666666666666,79.95833333333333,4.895833333333331,67.08333333333333,Clouds
1979-01-12,Munich,-1.29,-9.373333333333333,-4.54,0.9,998.2916666666666,79.54166666666667,7.920833333333331,62.458333333333336,Clouds
1979-01-13,Munich,-2.4425000000000003,-9.174999999999999,-6.0,-0.53,1014.0416666666666,87.125,5.999999999999999,70.625,Snow
1979-01-14,Munich,-3.7104166666666667,-9.630416666666667,-7.0,-1.52,1026.4583333333333,85.20833333333333,4.612499999999998,63.958333333333336,Snow
1979-01-15,Munich,-5.433333333333333,-11.420833333333333,-8.0,-2.59,1029.0416666666667,80.79166666666667,4.391666666666665,69.16666666666667,Snow
1979-01-16,Munich,-6.622916666666666,-11.650833333333336,-8.37,-5.0,1028.0833333333333,87.79166666666667,3.008333333333334,74.79166666666667,Snow
1979-01-17,Munich,-8.04125,-12.780833333333328,-12.91,-5.07,1021.2916666666666,90.16666666666667,2.475,68.75,Mist
1979-01-18,Munich,-10.882083333333334,-15.517499999999998,-19.0,-6.0,1019.0,78.08333333333333,1.8941666666666668,53.875,Mist
1979-01-19,Munich,-11.274166666666666,-15.865,-20.0,-3.0,1017.6666666666666,83.95833333333333,1.8683333333333334,13.791666666666666,Fog
1979-01-20,Munich,-8.784166666666666,-12.660416666666668,-17.0,0.06,1018.0416666666666,88.91666666666667,1.1791666666666665,53.291666666666664,Mist
1979-01-21,Munich,-3.5262499999999997,-6.81125,-6.0,1.44,1021.5416666666666,94.70833333333333,1.08125,90.0,Fog
1979-01-22,Munich,-2.4683333333333337,-6.066249999999999,-5.6899999999999995,0.9,1016.7083333333334,98.33333333333333,1.791666666666667,90.0,Fog
1979-01-23,Munich,-0.6258333333333331,-3.737500000000001,-6.73,5.0,1010.0833333333334,90.125,1.2116666666666667,84.79166666666667,Fog
1979-01-24,Munich,0.8708333333333335,-3.1808333333333327,-3.1,4.0,1005.9583333333334,87.08333333333333,2.754583333333334,86.875,Clouds
1979-01-25,Munich,-5.01,-8.74625,-13.0,-1.0,1005.5,90.54166666666667,1.4195833333333336,51.833333333333336,Clouds
1979-01-26,Munich,-4.129583333333334,-8.039166666666667,-14.0,3.0,1000.25,85.95833333333333,1.7341666666666669,55.416666666666664,Clouds
1979-01-27,Munich,-0.5091666666666665,-4.127916666666667,-7.88,1.0,997.375,93.70833333333333,2.054166666666667,83.125,Mist
1979-01-28,Munich,0.29374999999999996,-2.8320833333333337,-3.0,2.0,994.0416666666666,95.125,1.55375,90.0,Snow
1979-01-29,Munich,-0.6591666666666668,-3.801666666666667,-6.0,1.55,1002.6666666666666,93.625,1.3445833333333335,74.45833333333333,Mist
1979-01-30,Munich,0.4391666666666667,-3.7475,-4.0,4.0,1003.4583333333334,86.16666666666667,2.8208333333333333,38.916666666666664,Clouds
1979-01-31,Munich,-0.3304166666666666,-7.027916666666666,-2.0,1.54,1013.0,87.33333333333333,6.308333333333333,70.625,Clouds
1979-02-01,Munich,-2.342499999999999,-7.819166666666667,-11.0,3.0,1010.5416666666666,73.58333333333333,3.879999999999999,44.958333333333336,Clouds
1979-02-02,Munich,3.942916666666667,-1.5299999999999996,-1.0,8.0,998.125,79.875,5.150000000000001,86.125,Rain
1979-02-03,Munich,1.6308333333333334,-1.0875,0.0,4.0,1005.5,95.04166666666667,1.2466666666666668,84.79166666666667,Mist
1979-02-04,Munich,0.8233333333333336,-2.282083333333333,-1.73,4.0,1005.2083333333334,97.33333333333333,1.6958333333333335,82.70833333333333,Mist
1979-02-05,Munich,2.856666666666667,-0.7954166666666667,-1.0,7.0,997.4583333333334,91.29166666666667,2.7279166666666668,78.125,Rain
